,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
418,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
419,"frozenset({'notRepairedDamage_nein', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4306,1.0,0.4306,1.0,1.0,0.0,inf
420,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
421,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
422,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
423,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
424,"frozenset({'seller_privat', 'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
425,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'seller_privat', 'nrOfPictures_0'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
426,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
427,"frozenset({'nrOfPictures_0', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
